"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"210161_at","210161_at","NFATC1",-0.228304247937932,5.45727656576022,-3.70411689618464,0.00106016857478375,0.236237363519064,-0.754065011098226
"212204_at","212204_at","TMEM87A",0.284330106324163,7.45609229502689,3.69772240219012,0.00107748229944747,0.236559401250907,-0.767651947828788
"201044_x_at","201044_x_at","DUSP1",-0.295499243657027,5.75527226870416,-3.69231517944941,0.001092338916584,0.236559401250907,-0.779137687113738
"211839_s_at","211839_s_at","CSF1",-0.193112932751895,5.30480325968208,-3.68958272943078,0.00109992263380417,0.236559401250907,-0.784940599042045
"218051_s_at","218051_s_at","NT5DC2",0.352832606774195,8.29578941613982,3.68533346033056,0.00111181879112103,0.236559401250907,-0.793963150931488
"203011_at","203011_at","IMPA1",0.371151909443757,6.6907384048335,3.68431296014966,0.00111469448150362,0.236559401250907,-0.796129700451815
"206982_at","206982_at","CRYBA1",-0.14777754881551,3.85706510732177,-3.67644032291066,0.00113712526871014,0.238364726085403,-0.812839619925523
"220208_at","220208_at","ADAMTS13",-0.24282858448429,6.26413641301445,-3.66869969559835,0.00115961080869217,0.238364726085403,-0.829262541205321
"221720_s_at","221720_s_at",NA,-0.137232717067308,5.27754438862064,-3.66786973558388,0.00116204743224711,0.238364726085403,-0.831023023676633
"213812_s_at","213812_s_at","CAMKK2",-0.553793203094576,8.32734686653746,-3.66475561848481,0.00117123474109396,0.238364726085403,-0.837627878345117
"205585_at","205585_at","ETV6",-0.235285629065454,5.5050031802542,-3.65519194651234,0.0011998964887835,0.238364726085403,-0.857904858109232
"208157_at","208157_at","SIM2",-0.22374136565483,4.66420112853731,-3.65408993785512,0.00120324294146282,0.238364726085403,-0.860240663167252
"219207_at","219207_at","EDC3",-0.184307077886106,6.52059458551312,-3.6489758368922,0.00121889281392471,0.238364726085403,-0.871078589063315
"212466_at","212466_at","SPRED2",-0.182195532755189,4.56874143326137,-3.64696879799613,0.00122508892488079,0.238364726085403,-0.875331112016631
"212085_at","212085_at","SLC25A6",-0.345612690637202,10.394782460837,-3.64657646602849,0.00122630372536579,0.238364726085403,-0.876162331030653
"209872_s_at","209872_s_at","PKP3",-0.166580635169408,5.23232264353801,-3.64482702153745,0.00123173499793384,0.238364726085403,-0.879868591157169
"214317_x_at","214317_x_at","RPS9",-0.220766597812315,10.25652021687,-3.64190151255212,0.00124087009046838,0.238364726085403,-0.886065572011736
"218946_at","218946_at","NFU1",0.334753536458042,5.84382791662436,3.63616301843164,0.0012589818882613,0.238936783300538,-0.89821820436923
"216031_x_at","216031_x_at","JPT2",-0.150447813561684,6.27437417154972,-3.63418215201879,0.00126529374094437,0.238936783300538,-0.902412241877478
"221633_at","221633_at","NCAPH2",-0.156981197988445,5.50877289160676,-3.62295162720402,0.00130166840635026,0.243740143686578,-0.926181317934257
"215538_at","215538_at","LARGE1",-0.275676173519527,4.95292305063101,-3.61742524334771,0.00131994139442331,0.245102117432789,-0.937872055501929
"221150_at","221150_at","MEPE",-0.223029394557777,6.86143357636874,-3.60772739188953,0.00135261549316464,0.247447083236855,-0.958378079189704
